ETA,Max Depth,Subsample,Colsample by Tree,B-cell Accuracy,Dendritic Accuracy,Macrophage Accuracy,Monocyte Accuracy,NK Accuracy,Platelet Accuracy,T-cell Accuracy,MAE
0.4,7,0.5,0.6,0.9974226804123711,0.9459459459459459,0.9675675675675676,0.9823943661971831,0.966804979253112,0.9166666666666666,0.9975618904726181,0.03223370049779073
0.5,4,0.5,0.7,0.9948453608247423,1.0,0.9675675675675676,0.9894366197183099,0.9605809128630706,0.9583333333333334,0.9969992498124531,0.018890993697217695
0.4,7,0.8,0.6,0.9974226804123711,0.9459459459459459,0.9783783783783784,0.9788732394366197,0.9585062240663901,0.9166666666666666,0.9973743435858965,0.032404645929675846
0.3,7,0.3,0.5,0.9974226804123711,0.9459459459459459,0.9567567567567568,0.9859154929577465,0.9522821576763485,0.9583333333333334,0.9973743435858965,0.029424184190228853
0.8,6,0.4,0.3,0.9948453608247423,0.9459459459459459,0.972972972972973,0.9964788732394366,0.9564315352697096,0.9583333333333334,0.9973743435858965,0.02537394783256619
0.3,6,0.6,0.8,0.9974226804123711,0.972972972972973,0.972972972972973,0.9823943661971831,0.9564315352697096,0.9166666666666666,0.9971867966991748,0.029136001258421307
0.2,7,0.8,0.6,0.9974226804123711,0.9459459459459459,0.9621621621621622,0.9894366197183099,0.950207468879668,0.9166666666666666,0.9975618904726181,0.03437093796317969
0.1,6,0.3,0.6,0.9948453608247423,0.9459459459459459,0.9675675675675676,0.9859154929577465,0.9294605809128631,0.9166666666666666,0.9975618904726181,0.03743378495026417
0.6,6,0.3,0.4,0.9948453608247423,0.9459459459459459,0.9675675675675676,0.9894366197183099,0.9626556016597511,0.9583333333333334,0.9969992498124531,0.026316617305413792
0.7,5,0.3,0.5,0.9896907216494846,0.9459459459459459,0.9675675675675676,0.9929577464788732,0.946058091286307,0.9583333333333334,0.9962490622655664,0.029028218781846027
0.1,6,0.4,0.7,0.9974226804123711,0.972972972972973,0.9675675675675676,0.9823943661971831,0.9232365145228216,0.9166666666666666,0.9973743435858965,0.034623555439217135
0.4,6,0.7,0.3,0.9974226804123711,0.9459459459459459,0.972972972972973,0.9859154929577465,0.9605809128630706,0.9583333333333334,0.9975618904726181,0.025895253005991603
0.8,5,0.6,0.2,0.9974226804123711,0.9459459459459459,0.9783783783783784,0.9859154929577465,0.9481327800829875,0.9583333333333334,0.9969992498124531,0.02698173415382643
0.4,7,0.5,0.1,0.9922680412371134,0.8918918918918919,0.9675675675675676,0.9964788732394366,0.9398340248962656,0.9583333333333334,0.9981245311327832,0.03650024810022978
0.4,5,0.3,0.5,0.9948453608247423,0.9459459459459459,0.9675675675675676,0.9823943661971831,0.9585062240663901,0.9166666666666666,0.9968117029257314,0.03389459511511039
